userID,workoutID,courseID,order,date,status
USER-0001,WOR-0006,COU-0002,1,11/11/2024,Not Completed
USER-0001,WOR-0007,COU-0002,2,11/11/2024,Not Completed
USER-0001,WOR-0008,COU-0002,3,11/11/2024,Not Completed
USER-0001,WOR-0008,COU-0002,1,13/11/2024,Not Completed
USER-0001,WOR-0006,COU-0002,2,13/11/2024,Not Completed
USER-0001,WOR-0006,COU-0002,3,13/11/2024,Not Completed
USER-0001,WOR-0007,COU-0002,1,15/11/2024,Not Completed
USER-0001,WOR-0008,COU-0002,2,15/11/2024,Not Completed
USER-0001,WOR-0006,COU-0002,3,15/11/2024,Not Completed
USER-0001,WOR-0007,COU-0002,1,18/11/2024,Not Completed
USER-0001,WOR-0008,COU-0002,2,18/11/2024,Not Completed
USER-0001,WOR-0007,COU-0002,3,18/11/2024,Not Completed
USER-0001,WOR-0006,COU-0002,1,20/11/2024,Not Completed
