userID,workoutID,courseID,order,date,status
USER-0002,WOR-0001,COU-0001,1,11/11/2024,Not Completed
USER-0002,WOR-0002,COU-0001,2,11/11/2024,Not Completed
USER-0002,WOR-0003,COU-0001,3,11/11/2024,Not Completed
USER-0002,WOR-0001,COU-0001,4,11/11/2024,Not Completed
USER-0002,WOR-0002,COU-0001,1,14/11/2024,Not Completed
USER-0002,WOR-0003,COU-0001,2,14/11/2024,Not Completed
USER-0002,WOR-0004,COU-0001,3,14/11/2024,Not Completed
USER-0002,WOR-0005,COU-0001,4,14/11/2024,Not Completed
USER-0002,WOR-0002,COU-0001,1,18/11/2024,Not Completed
USER-0002,WOR-0001,COU-0001,2,18/11/2024,Not Completed
USER-0002,WOR-0003,COU-0001,3,18/11/2024,Not Completed
USER-0002,WOR-0001,COU-0001,4,18/11/2024,Not Completed
USER-0002,WOR-0005,COU-0001,1,21/11/2024,Not Completed
USER-0002,WOR-0002,COU-0001,2,21/11/2024,Not Completed
USER-0002,WOR-0004,COU-0001,3,21/11/2024,Not Completed
USER-0002,WOR-0003,COU-0001,4,21/11/2024,Not Completed
USER-0002,WOR-0005,COU-0001,1,25/11/2024,Not Completed
USER-0002,WOR-0002,COU-0001,2,25/11/2024,Not Completed
USER-0002,WOR-0003,COU-0001,3,25/11/2024,Not Completed
USER-0002,WOR-0005,COU-0001,4,25/11/2024,Not Completed
