userID,workoutID,courseID,order,date,status
USER-0001,WOR-0006,COU-0002,1,04/11/2024,Not Completed
USER-0001,WOR-0007,COU-0002,1,05/11/2024,Not Completed
USER-0001,WOR-0008,COU-0002,1,11/11/2024,Not Completed
USER-0001,WOR-0008,COU-0002,1,12/11/2024,Not Completed
USER-0001,WOR-0006,COU-0002,1,18/11/2024,Not Completed
USER-0001,WOR-0006,COU-0002,1,19/11/2024,Not Completed
USER-0001,WOR-0007,COU-0002,1,25/11/2024,Not Completed
USER-0001,WOR-0008,COU-0002,1,26/11/2024,Not Completed
USER-0001,WOR-0006,COU-0002,1,02/12/2024,Not Completed
USER-0001,WOR-0007,COU-0002,1,03/12/2024,Not Completed
USER-0001,WOR-0008,COU-0002,1,09/12/2024,Not Completed
USER-0001,WOR-0007,COU-0002,1,10/12/2024,Not Completed
USER-0001,WOR-0006,COU-0002,1,16/12/2024,Not Completed
